article_ID,relevance_score,justification
g-q2-p2-09,0.78,"The article directly discusses generative AI tools like GitHub Copilot and how they improve developer experience, including aspects of code review, cognitive load, and flow—closely tied to agentic/code-assistance for scientific/data analysis coding workflows. However, it is not specifically focused on agentic AI for data scientists/natural scientists or scientific data analysis code generation."
g-q2-p3-02,0.78,"The article discusses AI coding agents and how providing agent experience (context files, platform documentation) improves their ability to generate correct, modern code for a platform. This directly relates to an agentic AI system supporting data/natural scientists with code generation, though it focuses on web development rather than scientific/data analysis specifically."
g-q2-p3-03,0.55,"The text discusses generative AI coding assistants that automate code generation, debugging, and analysis of datasets, which is related to agentic AI for supporting scientific/data analysis coding. However, it is framed broadly around software developer productivity rather than specifically supporting data scientists/natural scientists or agentic workflows for scientific data analysis."
g-q2-p3-04,0.72,"The article directly evaluates generative AI models for Python code generation, including metrics like accuracy, reliability, exception handling, and cost—relevant to agentic AI that helps scientists write analysis code. However, it focuses on benchmarking LLMs rather than an agentic workflow/system for data scientists and natural scientists."
g-q2-p3-06,0.55,"The article discusses evaluating AI tools to support evidence synthesis workflows (screening and data extraction), which is a form of agentic/automated assistance for scientific data analysis. However, it focuses on selection criteria and responsible use rather than on an agentic AI system for code generation by data/natural scientists."
g-q2-p3-07,0.72,"The article discusses agentic AI concepts relevant to scientific/data analysis coding support, including AI coding tools, adding context for correct code generation, human-in-the-loop agency, and interoperability in agent workflows. However, it is framed around general developer productivity rather than explicitly supporting data scientists/natural scientists or scientific data analysis code generation."
g-q2-p3-08,0.55,"The article discusses AI-assisted code generation workflows (AI-X), including documentation, code reviews, and quality gates that help developers write correct code. While it is not specifically about agentic AI for data/scientific analysis code, it is directly relevant to agentic AI supporting developers in generating and validating code."
g-q2-p3-09,0.25,"The article discusses developers using AI tools for coding (including code generation/assistants), which is loosely related to agentic AI for writing code. However, it is a survey about the developer ecosystem and productivity metrics, not an agentic AI system supporting data/natural scientists for scientific data analysis code generation."
g-q2-p3-10,0.35,"The article discusses using LLM-based tools for general code generation, including debugging and assembling an application, which is adjacent to agentic AI for code writing. However, it is not specifically about agentic AI systems supporting data/natural scientists or generating code for scientific/data analysis workflows."
g-q3-p1-01,0.86,"The article directly discusses agentic AI systems for scientific work, including using agents to write and run code, analyze data, and support researchers in the scientific workflow. It is highly relevant to an agentic AI system that helps data and natural scientists generate code for data analysis, while also addressing tooling and evaluation/risks."
g-q3-p1-04,0.35,"The article focuses on embedding scientific evaluation and monitoring into AI workflows for digital health, which is adjacent to agentic AI support for scientific/data analysis code generation. However, it does not address agentic AI systems or code-generation for data analysis, making the connection only partial."
g-q3-p1-07,0.95,"The article directly discusses agentic AI systems for biomedical scientific discovery, including multi-agent workflows, tool use, and code execution to support hypothesis generation and data analysis. It closely aligns with an agentic AI system intended to help data/natural scientists write and run code for scientific data analysis."
g-q3-p1-08,0.92,The article describes an agentic AI “virtual lab” with multiple AI agents (including an AI principal investigator and data-analyst agents) that supports scientific workflows and code/tool use for biological research. This closely matches the target system’s goal of agentic AI helping data/natural scientists write and apply code for data analysis.
g-q3-p1-09,0.98,"The article directly concerns an agentic AI system (“Jr. AI Scientist”) that autonomously supports scientific research by generating and implementing code from baseline papers and writing research manuscripts. It is highly aligned with the target system’s goal of helping data/natural scientists write source code for data analysis, including multi-file coding agents, experimentation loops, and risk-aware evaluation."
g-q3-p2-01,0.78,"The article discusses agentic/automated AI systems for scientific workflows (e.g., multi-agent lab platforms, tool-orchestrating agents, autonomous experimentation) that support data analysis and research execution. While it is more a perspective on AI-for-science than specifically about agentic AI for generating source code for data analysis, it is strongly aligned with agentic support for scientific/data analysis tasks."
g-q3-p2-02,0.78,"The survey is directly about AI4Science systems that support researchers across the scientific lifecycle, including automated experimentation and code generation (e.g., Python programs for experiments). However, it is broader than the target agentic AI for data-science/natural-science code generation and does not focus specifically on agentic coding assistants for data analysis workflows."
g-q3-p2-03,0.86,"The article describes an LLM-powered (agentic) Slack bot that generates and executes SQL for data analysis questions, including design tradeoffs, context engineering, and production lifecycle practices. This directly aligns with an agentic AI system supporting data scientists/natural scientists in writing code for data analysis, though it focuses on SQL/data support rather than broader scientific coding."
g-q3-p2-07,0.15,"The article discusses agentic AI concepts and Bayesian inference for safe scientific “AI scientists,” but it is primarily focused on AI safety/alignment and governance rather than building agentic systems to help data or natural scientists write code for data analysis."
g-q3-p2-08,0.05,"The article surveys beliefs and governance attitudes about AI systems with subjective experience, not an agentic AI system for generating scientific or data-analysis code. It contains no methods or tools for supporting data scientists/natural scientists in writing source code."
g-q3-p2-09,0.78,"The article describes an agentic multi-agent AI “co-scientist” designed to help scientists generate hypotheses, research plans, and experimental protocols, including validation in biomedical lab experiments. While it focuses on hypothesis/protocol generation rather than explicitly coding for data analysis, it is strongly aligned with agentic AI supporting scientific work."
g-q3-p3-01,0.55,"The article focuses on building an evaluation pipeline for an LLM-based scientific/data-adjacent application, including data annotation, rubrics, and LLM-as-a-judge scoring. However, it does not address an agentic AI system for generating source code for data analysis, which is central to the target system."
g-q3-p3-02,0.78,"The article directly discusses “AI scientists” as autonomous agents for scientific discovery, including tool-using code/workflow execution and safety mechanisms like constrained action spaces, monitoring, and evaluation. While it focuses on safeguarding rather than building an agentic AI coding system for data scientists, it is strongly relevant to agentic AI supporting scientific workflows and code/tool use."
g-q3-p3-04,0.92,"The article directly discusses agentic AI systems (“AI scientists”) that automate scientific workflows including data ingestion, hypothesis testing, and code synthesis/execution for data analysis. This closely matches the target system’s goal of supporting data and natural scientists with agentic AI for writing code for scientific data analysis."
g-q3-p3-08,0.35,"The paper discusses agentic AI evaluation and includes code-generation benchmarks (e.g., HumanEval) and agent frameworks that generate and run code, which is adjacent to agentic systems for scientific/data analysis coding. However, it focuses on benchmarking methodology (cost, reproducibility, holdouts) rather than building agentic AI tools that specifically help data/natural scientists write code for data analysis."
g-q3-p3-09,0.78,"The article directly addresses agentic multi-agent AI for scientific discovery across the research workflow, including autonomous “co-scientists” and discussion-driven validation. While it focuses on MAS broadly rather than specifically on code generation for data analysis, it is strongly aligned with agentic AI systems supporting scientists."
s-q1-p1-01,0.55,"The article focuses on human–AI collaboration and workflow automation in IT support services, including how AI-enabled systems affect user experience and perceived service performance. However, it does not directly address an agentic AI system for generating source code for data analysis, making its relevance only partial to the target system."
s-q1-p1-03,0.25,"The article focuses on evaluating Human-AI Collaboration systems using metrics and a decision-tree framework, which is related to agentic AI in general. However, it does not specifically address agentic AI for generating source code to support data scientists and natural scientists in data analysis."
s-q1-p1-04,0.55,"The article studies agentic/customized LLM assistants integrated into Agile software development meetings to generate real-time recommendations and summaries, including iterative prompt/design and human feedback. However, it focuses on meeting support and collaboration rather than on agentic AI for generating data-analysis code for natural/scientific workflows."
s-q1-p1-05,0.55,"The article studies human-AI collaboration using ChatGPT for software engineering tasks, including code generation, review, and debugging, which is adjacent to agentic AI for scientific/data analysis code writing. However, it focuses on software engineering rather than supporting data/natural scientists specifically for data analysis code generation."
s-q1-p1-06,0.25,"The article studies human-AI collaboration in intelligent decision support systems, focusing on how AI agent capability and user proficiency affect decision behavior and perceptions. However, it does not address an agentic AI system for generating source code for scientific/data analysis, so relevance to the target system is only indirect."
s-q1-p1-07,0.15,"The article studies AI augmentation in human–AI collaboration in an e-commerce sales setting, using causal field-experiment methods and NLP-based mediators. However, it does not focus on an agentic AI system that helps data/natural scientists write source code for data analysis."
s-q1-p1-08,0.25,"The article studies agentic autonomy adaptation in human-AI teamwork within a simulated shared workspace, which is related to agentic AI behavior. However, it does not focus on supporting data/natural scientists with code generation for data analysis, so its relevance to the target system is only indirect."
s-q1-p1-09,0.78,"The article presents ChatCollab, an agentic human-AI multi-agent framework used to generate and evaluate software code, including role-based coordination and iterative prompting. While it focuses on software engineering rather than explicitly data/scientific analysis code, it directly addresses agentic AI for code generation and collaboration workflows relevant to supporting data scientists and natural scientists."
s-q1-p1-10,0.25,"The article studies an LLM-based writing assistant (DiaryMate) and user interaction/control issues, which is related to agentic AI for code-writing only in a very indirect way. It focuses on personal journaling rather than supporting data/natural scientists to generate analysis code, so relevance to the target system is low."
s-q1-p2-01,0.55,"The article is a comprehensive review of human-AI collaboration, including interactive machine learning, active learning, and design principles like trust, communication, and feedback. While it does not specifically target agentic AI for generating scientific/data-analysis code, it is relevant to agentic workflows that support data scientists/natural scientists through interactive, user-in-the-loop AI systems."
s-q1-p2-02,0.35,"The article focuses on a human-AI collaboration framework (bi-directional interaction, trust, explainability) and evaluates tools like Copilot/ChatGPT, which is related to agentic AI support for users. However, it is largely conceptual/HCI-oriented and does not specifically target agentic AI for generating scientific or data-analysis code for natural/data scientists."
s-q1-p2-03,0.86,"The article presents a policy-driven agentic LLM orchestration framework that coordinates tool use and human collaboration to generate and manage code-like workflow actions with safety/guardrails, grounded evidence, and auditability. This directly aligns with an agentic AI system supporting scientists/data scientists in producing reliable analysis code, though the domain focus is customer service rather than scientific coding."
s-q1-p2-04,0.35,"The article studies agentic human-AI collaboration patterns (automation vs. augmentation) in a simulation platform and includes user-driven configuration of AI teammates, which is adjacent to agentic AI for scientific/data analysis coding support. However, it does not focus on helping data/natural scientists generate source code for data analysis, so relevance to the target system is only partial."
s-q1-p2-05,0.08,"The article studies human-AI collaboration, transparency, and consumer acceptance in domains like cars, ChatGPT, and clinical decision systems, but it does not address agentic AI for generating source code for data analysis. Its focus is on evaluation/behavioral outcomes rather than tools or methods that help data scientists write analysis code."
s-q1-p2-06,0.15,"The article studies human-AI collaboration using an LLM assistant in a cooperative board game, focusing on cognition and social dynamics rather than agentic AI for generating scientific/data analysis code. It is only loosely related to the target system’s goal of supporting data scientists/natural scientists with code generation."
s-q1-p2-07,0.25,"The article studies human-AI collaboration using a generative LLM (GPT-3) to support idea generation, which is related to agentic AI assistance. However, it is not focused on agentic AI for writing source code for data analysis by data/natural scientists, so relevance to the target system is only indirect."
s-q1-p2-08,0.55,"The article is about designing an AI agent (MAI) to support learners’ metacognitive and shared regulation in collaborative learning, using GPT-4 and real-time prompting. However, it is not focused on agentic AI for generating source code for data analysis, so it only partially aligns with the target system’s goal."
s-q1-p2-09,0.05,"The article studies human–AI collaboration and evaluation of AI-generated haiku, focusing on aesthetics and user perception rather than an agentic AI system that helps scientists write code for data analysis. It includes AI text generation (LSTM) but does not address agentic code generation or scientific/natural-science data analysis workflows."
s-q1-p2-10,0.25,"The article studies human-AI collaboration paradigms (supervisory/advisory/interactive) and their effects on meaningfulness and accountability, which is adjacent to agentic AI for scientific/data analysis. However, it does not address agentic AI systems for generating source code for data analysis, nor does it focus on code-writing support for scientists."
s-q1-p3-01,0.35,"The article studies human–AI co-learning and how AI feedback/workflow designs affect learning and model fine-tuning, which is related to agentic AI supporting scientific/data analysis workflows. However, it does not focus on agentic systems for generating source code for data analysis, and the experiments are on emotion annotation rather than scientific coding support."
s-q1-p3-02,0.25,"The article is a literature review on human-AI collaboration and generative AI in organizational contexts, mentioning AI support for tasks like analysis and writing. However, it does not focus on agentic AI systems for generating source code to support data scientists and natural scientists in scientific/data analysis."
s-q1-p3-03,0.78,"The article is a systematic literature review on AI-assisted coding inside IDEs (human-AI experience), directly addressing agentic AI for code generation workflows and the need for verification, transparency, and user control. However, it focuses on software engineering IDE usage rather than specifically supporting data scientists/natural scientists in scientific data analysis code generation."
s-q1-p3-04,0.55,"The paper studies agentic behavior of LLMs in human-AI collaboration and proposes methods to measure and control “agency” in dialogue, including generating dialogue with agency. However, it is not specifically about agentic AI systems that help data/natural scientists write code for data analysis, so relevance is partial."
s-q1-p3-05,0.35,"The article reviews human-AI collaboration in organizational contexts and discusses how AI systems interact with humans across phases (preparation, execution, evaluation), which is adjacent to agentic AI support for scientific/data analysis. However, it does not specifically address agentic AI for generating source code for data analysis by data/natural scientists."
s-q1-p3-06,0.25,"The article studies human–LLM collaboration designs and their effects on productivity, quality, and satisfaction in creative writing, which is adjacent to agentic AI workflows. However, it does not focus on agentic AI systems that generate or support scientific/natural-science data analysis code."
s-q1-p3-08,0.35,"The article focuses on human-AI interaction patterns in AI-assisted decision making, which is adjacent to agentic AI for scientific/data analysis but not specifically about agentic systems that generate code for data analysis. It provides useful interaction design taxonomy concepts, yet lacks direct relevance to agentic AI code generation for scientists/data scientists."
s-q1-p3-09,0.25,"The article describes an agentic LLM-based collaboration system with memory, persona customization, and analytics, but it is aimed at studying human-AI team dynamics rather than supporting data scientists/natural scientists in generating code for data analysis. It has only indirect relevance to agentic AI for scientific coding."
s-q1-p3-10,0.95,"The article directly proposes an agentic AI “Autonomous Manager Agent” to orchestrate complex workflows, including task decomposition, allocation, monitoring, and adaptive replanning, with a dedicated simulator (MA-Gym) for evaluation. While it is not specifically framed around data scientists writing analysis code, it is highly relevant to agentic AI for scientific/data analysis code generation in that it targets end-to-end workflow management and includes code/artifact handling as part of the managed tasks."
s-q2-p1-01,0.86,"The article presents TiCoder, an agentic LLM-based workflow that generates and iteratively validates tests to improve code generation correctness, directly aligning with agentic AI for scientific/data analysis code generation support. While it focuses on general Python code generation benchmarks rather than explicitly data/scientific analysis, the core mechanism for assisting code writing and validation is highly relevant."
s-q2-p1-02,0.78,"The article studies an LLM-powered coding assistant (watsonx Code Assistant) that generates and explains source code, directly aligning with agentic AI support for developers doing code-based data/software work. However, it focuses on general developer productivity and software engineering rather than specifically on agentic AI workflows for scientific/natural-science data analysis."
s-q2-p1-04,0.85,"The article empirically studies LLM-based tools used as collaborators in pair programming for CS education, directly relating to agentic AI supporting code generation/workflows. While it focuses on classroom collaboration rather than an explicit agentic system for data/scientific analysis, it is strongly relevant to agentic AI for writing and integrating code."
s-q2-p1-05,0.78,"The article directly concerns agentic/LLM-assisted code generation for security-critical scientific/data analysis code, focusing on evaluating and improving LLM-generated code via outcome-driven test oracles and benchmarks. While it targets secure code generation broadly (not specifically data/scientific analysis agents), it is strongly relevant to an agentic AI system that helps scientists write correct code."
s-q2-p1-07,0.55,"The article is directly about LLM-based code generation models (e.g., ChatGPT/Codex/Copilot) and how they can support programming education, including generating and evaluating code-related materials. However, it focuses on educational use rather than an agentic AI system specifically designed to help data/natural scientists write analysis code."
s-q2-p1-08,0.55,"The article presents an LLM-based multi-agent system that autonomously reviews and optimizes code, which is directly related to agentic AI for supporting code generation/analysis in software engineering. However, it focuses on code review rather than specifically on data scientists/natural scientists writing analysis code for data analysis workflows."
s-q2-p1-09,0.78,"The article directly surveys LLM-based code generation agents and multi-agent systems that autonomously plan, write, debug, and test code across the software development lifecycle. While it is framed for general software engineering rather than explicitly for scientific/natural-scientist data analysis, it is highly relevant to an agentic AI system that supports data scientists in writing analysis code."
s-q2-p1-10,0.98,"The article directly describes CodeCompose, an agentic-style AI-assisted coding system deployed to help developers (including data/ML engineers) write source code for analysis and engineering tasks. It focuses on LLM-based code generation integrated into IDEs via an LSP, with evaluation of suggestion accuracy and adoption at scale—highly aligned with an agentic AI system supporting scientific/data analysis code writing."
s-q2-p2-01,0.95,"The article directly addresses agentic AI for scientific/data analysis code generation in the context of agentic coding, providing a large-scale dataset (AIDev) about autonomous coding agents operating in real-world workflows. While it focuses on software engineering rather than explicitly on data/scientific analysis code, it is highly relevant to an agentic AI system that supports code writing for data scientists and natural scientists."
s-q2-p2-02,0.55,"The article directly addresses agentic-style human-AI collaboration for code generation via LLM programming assistants (e.g., Copilot) and evaluates interaction outcomes and moderators. However, it focuses on general software programming and education rather than specifically supporting data scientists/natural scientists for scientific data analysis code generation."
s-q2-p2-03,0.55,"The survey is directly about LLM-based agents for software engineering tasks including code generation, debugging, and tool use, which is adjacent to agentic AI for scientific/data analysis code generation. However, it focuses on software engineering rather than supporting data/natural scientists specifically, so relevance to the target system is only partial."
s-q2-p2-04,0.86,"The article directly studies an agentic/conversational LLM assistant integrated into a coding environment to generate and explain code, including multi-turn context grounded in the user’s code—closely matching an agentic AI system for scientific/data analysis code generation. While it focuses on software engineering rather than explicitly natural-science/data-science workflows, the core capability (agentic code assistance via conversation) is highly relevant."
s-q2-p2-05,0.78,"The article directly studies AI coding assistants used by developers for code generation, testing, refactoring, and related software development tasks, including user needs and limitations. While it is not specific to scientific/natural-scientist workflows, it is highly relevant to an agentic AI system that supports data scientists and natural scientists in writing analysis code."
s-q2-p2-06,0.25,"The article studies how AI coding tools affect real-world software development productivity, including code generation via LLM-based IDE agents. However, it does not present an agentic AI system designed to support data/natural scientists in writing code for scientific data analysis."
s-q2-p2-07,0.78,"The article directly addresses conversational/agentic AI (e.g., ChatGPT, Copilot) in the context of software engineering and computing education, including how such tools support code-related tasks across the SDLC. While it is a literature review rather than an agentic system for data/scientific code generation, it is strongly relevant to agentic AI supporting code writing for analysis workflows."
s-q2-p2-08,0.55,"The article directly evaluates AI-assisted code generation tools (GitHub Copilot, Amazon CodeWhisperer, ChatGPT) using code quality metrics, which is closely related to agentic AI for generating analysis code. However, it does not specifically target agentic workflows for data/natural scientists or end-to-end support for scientific data analysis coding."
s-q2-p2-09,0.72,"The article reviews AI code-generation tools (e.g., Copilot/LLMs) and their use in human–AI paired programming, including implications for how humans guide and evaluate generated code. While it focuses on education rather than specifically supporting data scientists/natural scientists for data analysis code, it is still directly about agentic-style AI for scientific/code generation workflows."
s-q2-p2-10,0.92,"The article directly evaluates LLM-based source code generation (ChatGPT/Copilot) using a structured methodology including functional testing, static analysis, and human review, which closely matches an agentic AI system supporting scientific/data scientists in writing analysis code. While it focuses on model comparison rather than a specific agentic workflow for scientists, it is highly relevant to agentic code-generation support for data analysis."
s-q2-p3-01,0.72,"The article directly studies AI-powered code generation tools (e.g., GitHub Copilot) and proposes community features to support developers’ trust and workflow, which is closely aligned with an agentic AI system for scientific/data analysis code generation support. However, it focuses on software developers and trust calibration rather than specifically on agentic systems for scientific/natural scientists or data-analysis code generation."
s-q2-p3-02,0.55,"The article focuses on AI-driven software engineering, including automated code generation, debugging, testing, and maintenance, which is directly related to agentic AI supporting code writing. However, it is framed around general software engineering rather than specifically agentic AI systems that help data scientists and natural scientists write analysis code for scientific workflows."
s-q2-p3-03,0.85,"The article directly studies adoption of AI-based programming assistants (e.g., ChatGPT, GitHub Copilot) by developers, focusing on how they support code generation and coding tasks in an industry setting. While it is not specific to data/scientific analysis code generation, it is highly relevant to an agentic AI system intended to help scientists and data scientists write source code for analysis."
s-q2-p3-04,0.55,"The article focuses on AI-driven code generation tools (e.g., Codex, AlphaCode, CodeWhisperer) and how they affect programming education, which is directly related to agentic AI for code generation. However, it is not specifically about supporting data scientists/natural scientists for scientific data analysis code, so relevance to the target system is only partial."
s-q2-p3-06,0.78,"The article studies how software engineers use ChatGPT (an LLM) to support coding-related tasks, including artifact manipulation (code generation/modification), guidance, and training, and analyzes trust/usefulness factors. This is directly relevant to an agentic AI system aimed at helping data/natural scientists write code for data analysis, though it focuses on software engineering rather than scientific data analysis specifically."
s-q2-p3-07,0.55,"The article reviews AI techniques for automated code generation (e.g., NLP/DL/transformers) and discusses evaluation criteria and challenges, which is related to agentic AI for generating code. However, it focuses on general software development code generation rather than an agentic AI system specifically supporting data scientists/natural scientists for scientific data analysis."
s-q2-p3-08,0.78,"The article describes AutoFL, an agentic LLM system that autonomously navigates source code via function calls to generate explanations and pinpoint buggy code locations, directly aligning with agentic AI for scientific/data analysis code support in spirit (code generation/assistance for developers). However, it targets fault localization/debugging rather than data/scientific analysis code generation specifically, making it only partially aligned with the target system."
s-q2-p3-09,0.92,"The article presents CodeAid, an LLM-powered programming assistant with guardrails and scaffolding to help students write, fix, and explain code in a programming course. This directly aligns with an agentic AI system supporting data/natural scientists in generating and guiding scientific/data analysis code, though the domain focus is education and C programming rather than scientific data analysis."
s-q2-p3-10,0.98,"The article presents AutoDev, an agentic AI framework that autonomously generates and validates source code for software engineering tasks by editing repositories, running builds/tests, and using execution feedback in a secure environment. This directly matches the target system’s goal of supporting data/natural scientists with agentic AI for scientific/data analysis code generation and validation."
s-q3-p1-01,0.55,"The article evaluates ChatGPT as an e-research assistant for scientific research tasks like drafting manuscripts, literature reviews, and (lightly) data analysis, which aligns with agentic AI supporting scientific workflows. However, it focuses mainly on AI-generated text quality and research ethics rather than an agentic system for code generation and end-to-end data-analysis programming support."
s-q3-p1-02,0.85,"The article directly surveys agentic AI systems for scientific discovery, including data analysis and workflows that support researchers. While it is not specifically focused on code generation for data scientists/natural scientists, it strongly aligns with agentic AI used to automate and assist scientific data analysis tasks."
s-q3-p1-03,0.98,"The article describes an agentic AI system (AI-Scientist v2) that autonomously generates and executes Python code for scientific experiments, analyzes/visualizes data, and writes manuscripts. This directly matches the target system’s goal of supporting scientific/data analysis code generation via agentic workflows."
s-q3-p1-04,0.95,"The article presents an agentic AI “co-scientist” designed to support scientists in generating novel, testable hypotheses and experimental plans, including tool use and iterative multi-agent reasoning. While it focuses on biomedical hypothesis generation rather than explicitly coding for data analysis, it is directly aligned with agentic AI support for scientific workflows."
s-q3-p1-05,0.98,"The article proposes “The AI Scientist,” an agentic LLM-driven system that generates and edits code, executes experiments, and iteratively produces scientific outputs and automated reviews. This directly matches the target system of agentic AI supporting data/natural scientists in writing code for data analysis and scientific experimentation."
s-q3-p1-06,0.98,"The article presents Agent Laboratory, an autonomous LLM-agent framework that supports end-to-end machine learning research by generating code repositories, running experiments, and writing reports with human-in-the-loop guidance. This directly matches the target system’s goal of agentic AI to help data/natural scientists write and execute analysis code."
s-q3-p1-07,0.55,"The article discusses how generative AI/LLMs are being used by scientists to write code and support research workflows, which is related to agentic AI for scientific code generation. However, it is a survey about attitudes and use cases rather than describing an agentic AI system that specifically helps data/natural scientists generate analysis code."
s-q3-p1-08,0.92,"The article is a survey of LLM-based scientific agents that explicitly covers agentic architectures for scientific workflows, including code generation/execution, tool use, and verification for reproducible data analysis. It directly aligns with an agentic AI system intended to help data scientists and natural scientists write and validate source code for scientific/data analysis."
s-q3-p1-09,0.92,"The article directly discusses using ChatGPT/LLMs to generate and assist with scientific data analysis code (e.g., bioinformatics and image analysis), including practical benefits and risks for non-coders. This closely matches an agentic AI system aimed at supporting data/natural scientists in writing code for data analysis."
s-q3-p1-10,0.12,"The article focuses on AI evaluation transparency (instance-by-instance results, granular reporting) rather than agentic AI systems that help scientists generate code for data analysis. It is related to AI for scientific research practices, but it does not address agentic code-writing support for data scientists/natural scientists."
s-q3-p2-01,0.92,"The article directly discusses agentic AI systems (“AI scientists” and multi-agent frameworks) intended to support scientific discovery workflows, including analysis, planning, tool use, and code execution for biomedical research. This closely matches the target system’s goal of agentic AI that helps data/natural scientists write and run code for data analysis."
s-q3-p2-02,0.55,"The article uses LLMs with planning to support scientific workflow recommendation from natural-language requirements, which is adjacent to agentic AI for scientific/data analysis code generation. However, it focuses on recommending existing workflows rather than generating source code for data analysis, so it only partially matches the target system."
s-q3-p2-03,0.55,"The article evaluates an LLM-based agent for generating research ideas and discusses agentic workflows for scientific discovery, which is adjacent to agentic AI for scientific coding. However, it focuses on ideation and evaluation rather than supporting data/natural scientists in writing executable code for data analysis."
s-q3-p2-04,0.35,"The article discusses researchers’ perceptions of generative AI tools for research tasks (e.g., efficiency, data analysis time) and highlights needs for training, support, and ethics. However, it does not focus on an agentic AI system for generating source code to support data/natural scientists, so relevance to the target system is only partial."
s-q3-p2-05,0.78,"The article describes an agentic LLM system (ResearchAgent with reviewing agents) to support scientific researchers in generating and iteratively refining research ideas, using literature and knowledge augmentation. While it focuses on ideation rather than writing executable data-analysis code, it is strongly aligned with agentic AI support for scientific workflows."
s-q3-p2-06,0.25,"The article focuses on assessing trustworthy/ethical AI systems using the Z-Inspection® process, which is relevant to governance and evaluation of AI in scientific domains like healthcare and environmental monitoring. However, it does not address an agentic AI system for generating source code for data analysis, so its relevance to the target system is only indirect."
s-q3-p2-07,0.78,"The article proposes AgentRxiv, a collaborative autonomous research framework where LLM agents iteratively generate and share research outputs, including writing and repairing code for experiments. While it is not specifically focused on data-scientist/natural-scientist code generation support tools, it directly targets agentic AI for scientific/data analysis workflows and cumulative code-driven experimentation."
s-q3-p2-09,0.35,"The article is a broad survey of generative AI requirements, model types, input–output formats, and evaluation metrics, including some discussion of text-to-code/code generation models. However, it does not specifically address an agentic AI system designed to help data scientists and natural scientists write code for scientific data analysis."
s-q3-p2-10,0.35,"The article discusses using AI language tools (e.g., ChatGPT) in scientific manuscript writing and mentions that such tools can generate code, but it focuses on writing quality, risks, and best practices rather than an agentic AI system for data/scientific code generation. It is only loosely aligned with supporting data scientists/natural scientists to write analysis code."
s-q3-p3-01,0.35,"The article is about using AI in cancer research workflows (image analysis, NLP, multimodal models) and mentions building Python pipelines, which is related to scientific/data analysis. However, it does not focus on an agentic AI system designed to help data/natural scientists write source code for data analysis, so relevance to the target system is only partial."
s-q3-p3-03,0.98,The article directly evaluates LLM-based tools for generating application code and Python/R scripts for data analysis and visualization in scientific contexts. This closely matches the target agentic AI system goal of supporting data/natural scientists in writing code for data analysis.
s-q3-p3-04,0.78,"The article describes multiple LLM-based systems that generate and automate scientific workflows, including writing code for data analysis/visualization (e.g., sMolTalk) and using LLMs as agents to call tools and transform unstructured scientific data into structured formats. While it focuses on chemistry/materials science rather than a general agentic AI platform for data scientists, it is strongly aligned with agentic AI for supporting scientific code generation and analysis."
s-q3-p3-06,0.72,"The article discusses ChatGPT/LLMs as tools for scientific work, including code generation, debugging, and data analysis support for researchers. While it is broad and not specifically about an agentic AI system architecture for data scientists/natural scientists, it directly relates to using LLMs to help with scientific/data analysis coding."
s-q3-p3-07,0.86,"The article is a comprehensive survey of agentic AI systems, including frameworks for autonomous tool-using agents and benchmarks that cover code generation/software engineering and scientific discovery. It directly supports the target system’s goal of enabling agentic AI for scientific/data analysis code generation, though it is not specifically focused on data-science code generation workflows."
s-q3-p3-09,0.55,"The article focuses on responsible use, auditing, and oversight of generative AI in scientific research, including requirements for human verification and transparency. However, it does not specifically address an agentic AI system that helps data/natural scientists write code for data analysis."
s-q3-p3-10,0.78,"The survey directly covers agentic LLM systems and includes scientific agents with benchmarks for generating executable scientific code (e.g., SciCode, CORE-Bench). While it focuses on evaluation rather than building agentic coding systems for data scientists/natural scientists, it is strongly relevant to agentic AI for scientific code generation and tooling."
